exp_name,dataset,model_name,sampling_strategy,remasking_strategy,num_samples,ca_rmsd_mean,ca_rmsd_median,ca_rmsd_std,bb_rmsd_mean,bb_rmsd_median,bb_rmsd_std,bb_tmscore_mean,bb_tmscore_median,bb_tmscore_std,mean_plddt_mean,mean_plddt_median,mean_plddt_std,inv_fold_seq_recovery_mean,inv_fold_seq_recovery_median,inv_fold_seq_recovery_std,pmpnn_seq_recovery_mean,pmpnn_seq_recovery_median,pmpnn_seq_recovery_std,pmpnn_bb_rmsd_mean,pmpnn_bb_rmsd_median,pmpnn_bb_rmsd_std,length_mean,length_median,length_std,helix_percent_mean,helix_percent_median,helix_percent_std,strand_percent_mean,strand_percent_median,strand_percent_std
inv_folding_reproduction,cameo2022,dplm2_150m,argmax,uncond,183,6.941588830779815,4.308052840882495,8.721796320795844,6.8799909194780735,4.207557550082305,8.720205337203287,0.8387634029638573,0.9156251984547008,0.1785464805514154,74.8247857015641,78.92355346679688,13.354906418969971,0.44187953233556015,0.4534883797168731,0.11924820790945621,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36581851695704876,0.3679458239277652,0.20679038132576902,0.2193834467501216,0.2098445595854922,0.1489098716359812
inv_folding_reproduction,cameo2022,dplm2_150m,annealing@2.0:0.1,uncond,183,6.9812567772472125,4.236776248494087,7.516078876934986,6.920342861882926,4.15159048077855,7.511897562942354,0.8343481151522726,0.9173085526939588,0.18291520882502782,74.57315295902106,78.01038360595703,13.58490452657088,0.4339449900746997,0.4444444477558136,0.12252864552119574,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36580200449747025,0.3679458239277652,0.2069134861506105,0.21952376248886368,0.2098445595854922,0.14905853805680905
inv_folding_reproduction,cameo2022,dplm2_650m,annealing@2.0:0.1,uncond,183,5.383439155043248,3.7557556601018094,5.002741696089972,5.322813081209868,3.705403862910134,4.994044933734342,0.8567720469333293,0.9308813704040896,0.16456105814279104,78.06073581716402,81.54063415527344,11.644953083213856,0.4743759879038308,0.5,0.13362402891469258,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36577949152819444,0.3679012345679012,0.2068989444255005,0.21904708905627618,0.2060301507537688,0.14889128981153046
inv_folding_reproduction,PDB_date,dplm2_150m,annealing@2.0:0.1,uncond,449,4.332171039206589,2.012206596419229,6.6074385988253255,4.276562181285238,1.9633990677081128,6.599535544250253,0.8894053414014297,0.9448988182197514,0.13676936847155022,76.59782134398054,80.87361145019531,13.243558345929282,0.49074358454924116,0.4822694957256317,0.11924625710553614,0.0,0.0,0.0,0.0,0.0,0.0,193.0913140311804,178.0,81.04703542560952,0.3958719377294732,0.3884615384615384,0.21034508350238235,0.23266257434388418,0.2151898734177215,0.16472975598493567
inv_folding_reproduction,cameo2022,dplm2_650m,argmax,uncond,183,5.625825649203911,3.980361028405994,5.372519213134382,5.568741655563378,3.9303575246894775,5.363660853408457,0.8613426257883225,0.9299952128189872,0.16109449576718005,77.633724765048,81.56079864501953,12.352030547177637,0.48155178357668915,0.5076923370361328,0.13390621931842475,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36567020191070804,0.3679012345679012,0.20698118615528446,0.21930403917012994,0.2060301507537688,0.1489350537713562
inv_folding_reproduction,PDB_date,dplm2_150m,argmax,uncond,449,4.180644041977096,1.963167512794851,6.44801955539717,4.1270670916319245,1.9111425724295616,6.439259468643887,0.8945855695376872,0.9460941338802002,0.1335896494004124,77.32045400912618,81.02232360839844,12.904551232377996,0.49875025856070104,0.4902597367763519,0.11684610273694387,0.0,0.0,0.0,0.0,0.0,0.0,193.0913140311804,178.0,81.04703542560952,0.39580936250224885,0.3884615384615384,0.21023299490540565,0.23263293050097367,0.2147651006711409,0.16478893519189414
inv_folding_reproduction,PDB_date,dplm2_650m,argmax,uncond,449,3.4740163425418125,1.6821457142473264,6.122029251052139,3.4262739210943565,1.6152692195086071,6.116117105951124,0.9128618512615776,0.95685744586097,0.11602461653464334,80.15343921381009,83.24806213378906,11.616210749670614,0.5569865295709109,0.5412843823432922,0.14047102270692288,0.0,0.0,0.0,0.0,0.0,0.0,193.0913140311804,178.0,81.04703542560952,0.3958654657699711,0.3884615384615384,0.21031418205465427,0.2329267061420479,0.2167300380228136,0.16472348825245392
inv_folding_reproduction,PDB_date,dplm2_650m,annealing@2.0:0.1,uncond,449,3.5316139372783617,1.7279612540366052,6.09450811884759,3.4832582706338506,1.6705763755518996,6.087849594176107,0.9119711805791073,0.9540401451663132,0.11837662715348973,79.98869538678889,83.49962615966797,11.767823672596446,0.5477293142032517,0.5309446454048157,0.14536942155135513,0.0,0.0,0.0,0.0,0.0,0.0,193.0913140311804,178.0,81.04703542560952,0.39581034146024496,0.3884615384615384,0.2102884684684638,0.23285367354508696,0.2167300380228136,0.16467392053523686
inv_folding_remasking_strategies,cameo2022,dplm2_3b,annealing@2.0:0.1,uncond,183,5.174250563913368,3.621841412648082,5.322859474721658,5.120469087780901,3.5100646318119386,5.317298419858977,0.871781903951316,0.92977365049312,0.14801794047437952,79.77173391456813,81.7960205078125,9.522627766423179,0.5090754456370254,0.5308641791343689,0.1498695148179056,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36594506032089896,0.3679012345679012,0.20680412288550848,0.21961928919589532,0.2060301507537688,0.14912241137041754
inv_folding_remasking_strategies,cameo2022,dplm2_3b,argmax,cond,183,5.084890740870496,3.4643817522373883,5.07329387619746,5.033478333509175,3.427466935724452,5.066878640552394,0.8697541992411689,0.9300000577606624,0.1530191690996174,79.83288076015118,82.15948486328125,10.23798839357751,0.5146342705670601,0.536912739276886,0.14538012872058273,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.3659203341630966,0.3679012345679012,0.20677781251220123,0.21968865841511984,0.2060301507537688,0.1489406145395294
inv_folding_remasking_strategies,cameo2022,dplm2_3b,argmax,uncond,183,5.138397092547073,3.627918397156072,5.151735047027021,5.086862134786162,3.653865452449874,5.145197933600351,0.8687335855748695,0.9305070650854022,0.15250419162623377,79.84377985052724,82.16946411132812,10.081143273425191,0.5152531191299522,0.533730149269104,0.1448890350090104,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36594506032089896,0.3679012345679012,0.20680412288550848,0.21973118857286802,0.2060301507537688,0.1488637726269524
inv_folding_remasking_strategies,cameo2022,dplm2_3b,argmax,no_remask,183,5.151827878647333,3.4804210917692537,5.09417537946409,5.101673695835302,3.4557895220811545,5.08786932331681,0.8656277314731349,0.9319214778759424,0.15718154974145818,79.97889873108578,82.31011962890625,10.0281956878397,0.5176634141981927,0.5391498804092407,0.14421238000809694,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36589560800529425,0.3679012345679012,0.20675203698049938,0.21967818923105478,0.2060301507537688,0.14890121828994884
inv_folding_remasking_strategies,cameo2022,dplm2_3b,annealing@2.0:0.1,cond,183,5.122717426126708,3.623479142866124,5.053795141444668,5.070215709692957,3.5417233102280954,5.048452300889379,0.8711113916131347,0.9292593541850168,0.14990614673984737,79.78292059768093,81.68550109863281,10.466412218809923,0.5138957307475512,0.5382716059684753,0.1467022138114494,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36594506032089896,0.3679012345679012,0.20680412288550848,0.21976727022203427,0.2060301507537688,0.14891913216716812
inv_folding_remasking_strategies,cameo2022,dplm2_3b,annealing@2.0:0.1,no_remask,183,5.103860193822414,3.539829954236985,5.128627631074185,5.049781762736305,3.500887138637672,5.12229446204356,0.8711584142770771,0.9315814461609704,0.15096078102116908,79.59379308731829,81.87899017333984,10.600736330273648,0.5195531908605919,0.5473684072494507,0.14119365712154341,0.0,0.0,0.0,0.0,0.0,0.0,247.4863387978142,230.0,147.49007034923713,0.36594506032089896,0.3679012345679012,0.20680412288550848,0.21966567727518582,0.2060301507537688,0.14890440227970622
inv_folding_remasking_strategies,PDB_date,dplm2_3b,argmax,uncond,449,3.223774889540848,1.469914713818417,6.0010987381181495,3.178885327366321,1.433648598336298,5.9950332296974125,0.9186595630304484,0.9606559235265256,0.11524361226328853,81.59742642935772,84.90523529052734,10.42139328890548,0.6158231061391681,0.5866666436195374,0.17717489298126415,0.0,0.0,0.0,0.0,0.0,0.0,193.0913140311804,178.0,81.04703542560952,0.39590564057948985,0.3884615384615384,0.21029609007404876,0.23316637989386085,0.2172619047619047,0.16483904787761322
inv_folding_remasking_strategies,PDB_date,dplm2_3b,argmax,cond,449,3.2658193882578335,1.5157875854547602,6.043546805043336,3.2196001734441224,1.4700192686320692,6.037308111602447,0.9178460302234918,0.9605304040331192,0.11475976141371738,81.56933907676645,84.81414031982422,10.30220904457374,0.6159393143215796,0.5867508053779602,0.17694157542527744,0.0,0.0,0.0,0.0,0.0,0.0,193.0913140311804,178.0,81.04703542560952,0.395920588039169,0.3884615384615384,0.2103244759873755,0.2331273067097871,0.2172619047619047,0.16480074039173068
inv_folding_remasking_strategies,PDB_date,dplm2_3b,argmax,no_remask,449,3.239914412298807,1.4685994058355227,5.998946917925262,3.1951272989357324,1.433648598336298,5.992915007449986,0.9186497860519358,0.960831533604073,0.11503030738493439,81.66491491067117,84.94216918945312,10.308126184604296,0.6167053110681823,0.5872092843055725,0.1766000017969974,0.0,0.0,0.0,0.0,0.0,0.0,193.0913140311804,178.0,81.04703542560952,0.39590564057948985,0.3884615384615384,0.21029609007404876,0.2330888260333296,0.2172619047619047,0.1647708273055216
